,Time,Artist,Song
229,2019-08-05 18:34:10,A Boogie Wit da Hoodie,Look Back At It (feat. CAPO PLAZA)
230,2019-08-05 18:22:17,"2Pac, Roger Troutman, , Dr. Dre",California Love
231,2019-08-05 18:18:38,Meek Mill,24/7 (feat. Ella Mai)
232,2019-08-05 18:11:54,Big Sean,Single Again
233,2019-08-05 18:08:41,Young Thug,The London (feat. J. Cole & Travis Scott)
234,2019-08-05 18:04:38,Chris Brown feat. Drake,No Guidance
235,2019-08-05 17:52:01,"Nicki Minaj, Drake, , Lil Wayne",Truffle Butter
236,2019-08-05 16:19:48,"Khalid , Disclosure",Talk
237,2019-08-05 16:17:15,City Girls,Act Up
238,2019-08-05 16:12:32,"Lil Wayne, Bobby V., , Kidd Kidd",Mrs. Officer
239,2019-08-05 16:09:45,DaBaby,Suge
240,2019-08-05 16:07:15,Meek Mill,Going Bad (feat. Drake)
241,2019-08-05 16:03:57,Ella Mai,Trip
242,2019-08-05 15:53:48,Big Sean,Bounce Back
243,2019-08-05 15:51:11,A Boogie Wit da Hoodie,Look Back At It (feat. CAPO PLAZA)
244,2019-08-05 15:44:49,Too Short,Blow the Whistle
245,2019-08-05 15:41:08,Derek King,Tetris
